_c0,loyalty_number,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,enrollment_type,cancellation_year,cancellation_month,salary_group
4405,955666,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,102416.0,Married,Nova,Standard,,,High
4487,410790,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,78327.0,Married,Nova,Standard,,,High
4506,933053,Canada,British Columbia,Vancouver,V6E 3D9,Female,Doctor,359643.0,Married,Star,2018 Promotion,,,High
4515,982296,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,77135.0,Married,Nova,Standard,,,High
4774,612595,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,88606.0,Married,Nova,Standard,,2.0,High
5083,559261,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,81726.0,Single,Nova,Standard,2018.0,,High
5188,455651,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,74756.0,Married,Nova,Standard,,,High
6062,851830,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,92944.0,Married,Nova,Standard,,,High
6501,475313,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,55144.0,Married,Nova,Standard,,,Medium
6677,772532,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,70872.0,Married,Aurora,2018 Promotion,,,High
6796,699962,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,69584.0,Married,Nova,Standard,,,Medium
6800,170321,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,71419.0,Married,Nova,Standard,,,High
7016,464970,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,86877.0,Married,Nova,Standard,,,High
7126,688178,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,77608.0,Married,Nova,Standard,,,High
7268,502784,Canada,British Columbia,Victoria,V10 6T5,Male,Bachelor,85038.0,Married,Nova,Standard,,,High
7571,951353,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,82152.0,Married,Aurora,2018 Promotion,,,High
7590,228673,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,96337.0,Single,Nova,Standard,,,High
7864,766909,Canada,Saskatchewan,Regina,S6J 3G0,Female,Bachelor,67721.0,Married,Nova,Standard,2013.0,,Medium
8178,368062,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,90603.0,Married,Nova,Standard,2017.0,,High
8272,483198,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,92909.0,Married,Nova,Standard,,,High
8474,631379,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,76690.0,Single,Nova,Standard,,,High
8530,904693,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,87453.0,Married,Nova,Standard,,,High
8819,945974,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,72656.0,Divorced,Nova,Standard,,,High
8878,894478,Canada,Alberta,Edmonton,T3G 6Y6,Male,Bachelor,80596.0,Married,Nova,Standard,,,High
8919,740577,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,95423.0,Married,Nova,Standard,,,High
8926,523194,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,92259.0,Married,Nova,2018 Promotion,2018.0,,High
9284,542043,Canada,Saskatchewan,Regina,S1J 3C5,Male,Bachelor,51656.0,Married,Nova,Standard,,,Medium
9316,203306,Canada,Ontario,Toronto,P5S 6R4,Male,Bachelor,49343.0,Divorced,Nova,2018 Promotion,,,Low
9428,333295,Canada,Quebec,Montreal,H3T 8L4,Male,Bachelor,56850.0,Single,Nova,Standard,,6.0,Medium
10309,560024,Canada,British Columbia,Whistler,V6T 1Y8,Female,Doctor,198691.0,Divorced,Star,Standard,,,High
10407,502047,Canada,Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,46688.0,Single,Star,Standard,,,Low
10653,592532,Canada,Prince Edward Island,Charlottetown,C1A 6E8,Female,Bachelor,78636.0,Married,Star,Standard,,,High
11295,971142,Canada,Prince Edward Island,Charlottetown,C1A 6E8,Male,Bachelor,74450.0,Married,Star,Standard,,,High
12018,565533,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,88142.0,Married,Star,Standard,,,High
12218,488679,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,48629.0,Married,Star,Standard,,,Low
13724,297684,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,57996.0,Married,Nova,2018 Promotion,,,Medium
14351,797675,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,54456.0,Married,Star,Standard,2017.0,,Medium
14516,689818,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,64680.0,Married,Star,Standard,,,Medium
14692,472540,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,79287.0,Married,Star,Standard,,,High
15164,398086,Canada,Saskatchewan,Regina,S1J 3C5,Male,Bachelor,59796.0,Married,Star,Standard,,,Medium
15275,469767,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,104968.0,Married,Star,Standard,,,High
15299,972298,Canada,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,52804.0,Married,Star,Standard,,,Medium
15311,489609,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,87928.0,Married,Star,Standard,2018.0,,High
15371,535327,Canada,Ontario,Toronto,M2M 7K8,Female,Bachelor,59510.0,Single,Star,Standard,,,Medium
16487,752217,Canada,Ontario,Toronto,M1R 4K3,Male,Bachelor,84550.0,Married,Star,Standard,,,High
16530,472376,Canada,Ontario,London,M5B 3E4,Female,High School or Below,73624.0,Married,Star,Standard,,,High
5,193662,Canada,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,51124.0,Married,Star,Standard,,,Medium
194,410982,Canada,Ontario,Trenton,K8V 4B2,Male,Master,132353.0,Married,Star,Standard,,,High
196,147898,Canada,Quebec,Tremblant,H5Y 2S9,Female,High School or Below,59849.0,Divorced,Star,Standard,,,Medium
261,275442,Canada,New Brunswick,Moncton,E1A 2A7,Male,Bachelor,87262.0,Married,Star,Standard,,,High
756,530978,Canada,Ontario,Kingston,M9K 2P4,Male,Doctor,187913.0,Married,Aurora,Standard,,,High
963,418990,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,76442.0,Married,Aurora,Standard,,,High
976,728748,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,76137.0,Married,Aurora,Standard,,,High
989,724818,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,78196.0,Married,Aurora,Standard,,,High
1778,301793,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,73602.0,Married,Aurora,Standard,,,High
1839,157300,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,52832.0,Married,Aurora,2018 Promotion,2018.0,,Medium
2117,632515,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,53768.0,Married,Nova,2018 Promotion,,,Medium
2164,372622,Canada,New Brunswick,Moncton,E1A 2A7,Male,Bachelor,77075.0,Married,Aurora,Standard,,,High
2198,120434,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,97949.0,Married,Aurora,Standard,,,High
2286,135312,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,84851.0,Divorced,Aurora,Standard,,,High
2450,222050,Canada,British Columbia,Whistler,V6T 1Y8,Female,Master,122233.0,Single,Nova,2018 Promotion,,,High
2632,244652,Canada,British Columbia,Vancouver,V6E 3D9,Male,High School or Below,47238.0,Married,Aurora,Standard,,,Low
2965,243455,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,60252.0,Divorced,Aurora,Standard,,,Medium
3177,233831,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,85521.0,Married,Aurora,Standard,2016.0,,High
3701,577360,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,60005.0,Married,Aurora,Standard,,,Medium
4067,798533,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,89340.0,Divorced,Aurora,Standard,,,High
4203,621695,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,80051.0,Married,Nova,Standard,,,High
4306,778317,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,63939.0,Married,Nova,Standard,2018.0,,Medium
4499,515860,Canada,Ontario,Toronto,M2M 7K8,Female,Master,71038.0,Married,Nova,Standard,,,High
4534,344768,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,58868.0,Married,Nova,Standard,2014.0,,Medium
4599,744135,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,85944.0,Married,Nova,Standard,,,High
4777,873116,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,94534.0,Married,Nova,Standard,,,High
4999,645635,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,89051.0,Married,Nova,Standard,2015.0,,High
5069,815248,Canada,Ontario,Toronto,M2P 4F6,Male,Bachelor,54457.0,Divorced,Nova,Standard,2017.0,,Medium
5312,460629,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,75092.0,Married,Nova,Standard,,,High
5433,744778,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,56086.0,Married,Nova,Standard,,,Medium
5515,582690,Canada,Ontario,London,M5B 3E4,Female,Bachelor,50879.0,Single,Nova,Standard,,11.0,Medium
5941,147700,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,48538.0,Married,Nova,Standard,,,Low
6553,381651,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Doctor,189990.0,Married,Nova,Standard,,,High
6707,564909,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,83711.0,Married,Nova,Standard,,,High
6911,976153,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,62229.0,Single,Nova,Standard,,,Medium
6966,409798,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,70161.0,Married,Nova,Standard,,,High
7150,512179,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,96575.0,Divorced,Nova,Standard,,,High
7266,160707,Canada,Ontario,Toronto,P5S 6R4,Male,Bachelor,100487.0,Married,Nova,Standard,,,High
7629,425620,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,52167.0,Married,Nova,Standard,,,Medium
7924,515185,Canada,Saskatchewan,Regina,S1J 3C5,Male,Master,122820.0,Single,Nova,Standard,,,High
8774,787276,Canada,Newfoundland,St. John's,A1C 6H9,Male,Bachelor,90480.0,Married,Nova,Standard,,,High
8918,674805,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,95423.0,Married,Nova,Standard,,,High
8965,221721,Canada,Ontario,Toronto,P5S 6R4,Male,Bachelor,58025.0,Divorced,Nova,Standard,,,Medium
9184,719850,Canada,Ontario,Toronto,M2M 6J7,Male,Bachelor,80002.0,Married,Nova,Standard,,,High
9392,290465,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,58405.0,Married,Nova,Standard,,9.0,Medium
10226,552328,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,68308.0,Single,Star,Standard,,,Medium
10276,928292,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,46896.0,Married,Star,Standard,,,Low
10560,195137,Canada,Saskatchewan,Regina,S6J 3G0,Female,High School or Below,80919.0,Single,Star,Standard,,,High
10661,429689,Canada,New Brunswick,Moncton,E1A 2A7,Female,Bachelor,72029.0,Married,Star,Standard,2014.0,,High
10668,838881,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,64308.0,Married,Star,Standard,,,Medium
10783,849587,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,52455.0,Married,Star,Standard,,,Medium
10926,651469,Canada,Quebec,Montreal,H4G 3T4,Male,Bachelor,71412.0,Married,Star,Standard,2015.0,,High
11502,540551,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,70933.0,Married,Star,Standard,,,High
11599,101540,Canada,Ontario,London,M5B 3E4,Female,Bachelor,69020.0,Single,Star,Standard,,,Medium
11712,661054,Canada,Quebec,Montreal,H2T 9K8,Male,High School or Below,66341.0,Married,Star,Standard,,,Medium
11921,892616,Canada,Ontario,Toronto,P1L 8X8,Male,Bachelor,56239.0,Married,Star,Standard,,,Medium
11977,354176,Canada,Ontario,Toronto,M8Y 4K8,Female,Master,71038.0,Married,Star,Standard,2017.0,,High
13701,745290,Canada,New Brunswick,Moncton,E1A 2A7,Female,Bachelor,63116.0,Married,Star,Standard,,,Medium
13803,289294,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,50332.0,Married,Star,Standard,,,Medium
14825,525202,Canada,Yukon,Whitehorse,Y2K 6R0,Female,Bachelor,47802.0,Single,Star,Standard,,,Low
15078,394569,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,65935.0,Divorced,Star,Standard,2017.0,,Medium
15854,772834,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,96550.0,Married,Star,Standard,,,High
16155,530235,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,69720.0,Married,Star,Standard,,,Medium
16647,106754,Canada,Ontario,London,M5B 3E4,Female,Bachelor,49158.0,Married,Star,Standard,,,Low
210,830547,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,51111.0,Single,Star,Standard,,,Medium
217,430569,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,87462.0,Married,Star,Standard,,,High
351,922388,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,91236.0,Married,Star,Standard,,,High
851,345608,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,99973.0,Divorced,Aurora,Standard,,,High
1159,957061,Canada,Ontario,Toronto,P2T 6G3,Female,Bachelor,73947.0,Married,Aurora,Standard,,,High
1391,178160,Canada,Ontario,Toronto,M2M 7K8,Female,Bachelor,51699.0,Married,Aurora,Standard,,,Medium
1406,665763,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,99414.0,Married,Aurora,Standard,,7.0,High
1769,730008,Canada,Ontario,Sudbury,M5V 1G5,Male,Bachelor,73525.0,Married,Aurora,Standard,,,High
1960,805598,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,90620.0,Married,Aurora,2018 Promotion,,,High
2270,633299,Canada,Ontario,Toronto,M2M 7K8,Female,Bachelor,78582.0,Single,Aurora,Standard,,,High
2626,878582,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,72503.0,Married,Aurora,Standard,,,High
3079,584833,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,89245.0,Married,Aurora,Standard,,,High
3219,827790,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,56307.0,Divorced,Nova,2018 Promotion,,,Medium
3318,884875,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,72742.0,Married,Aurora,Standard,,,High
3817,137850,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,99788.0,Married,Aurora,Standard,,,High
4082,401824,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,93967.0,Single,Aurora,Standard,,,High
4117,123525,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,65997.0,Divorced,Aurora,Standard,,,Medium
4135,710029,Canada,Ontario,Toronto,M2P 4F6,Female,Bachelor,54784.0,Divorced,Aurora,Standard,,,Medium
4258,779929,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,85742.0,Single,Nova,Standard,,,High
4318,298535,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,51510.0,Married,Nova,Standard,,,Medium
4904,991230,Canada,Quebec,Montreal,H2Y 4R4,Male,Bachelor,75990.0,Married,Nova,Standard,,,High
6278,298681,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,56183.0,Married,Nova,Standard,,,Medium
7055,838589,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,63291.0,Married,Nova,Standard,2017.0,,Medium
7116,940523,Canada,New Brunswick,Moncton,E1A 2A7,Female,Master,126642.0,Married,Nova,Standard,2015.0,,High
7185,274107,Canada,Quebec,Montreal,H4G 3T4,Male,Bachelor,61670.0,Married,Nova,Standard,2016.0,,Medium
7187,874842,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,51354.0,Married,Nova,Standard,,,Medium
7213,541008,Canada,Ontario,London,M5B 3E4,Male,Bachelor,59783.0,Divorced,Star,2018 Promotion,,,Medium
7371,197509,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,55898.0,Married,Nova,Standard,,,Medium
7841,282723,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,69937.0,Married,Nova,Standard,,,Medium
8207,683664,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,59401.0,Married,Nova,Standard,,,Medium
8292,823816,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,103449.0,Divorced,Nova,Standard,,,High
8773,661469,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,73322.0,Married,Nova,Standard,,,High
8862,209249,Canada,Quebec,Montreal,H2T 9K8,Female,Doctor,70755.0,Divorced,Nova,Standard,,,High
8952,907025,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,73945.0,Single,Nova,Standard,,,High
9268,385358,Canada,Ontario,Toronto,M1R 4K3,Male,Bachelor,71321.0,Married,Nova,Standard,,,High
10020,523110,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Master,117771.0,Single,Star,Standard,,,High
10955,269694,Canada,Alberta,Peace River,T9O 2W2,Female,Master,97596.0,Divorced,Star,Standard,,,High
11111,351500,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,85094.0,Married,Star,Standard,,,High
12352,606074,Canada,Ontario,Ottawa,K1F 2R2,Male,High School or Below,71708.0,Divorced,Star,Standard,,,High
12544,427733,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,100167.0,Married,Star,Standard,,,High
12759,327903,Canada,Ontario,Toronto,M2M 6J7,Female,Bachelor,78573.0,Divorced,Star,Standard,2018.0,,High
12768,485330,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,81592.0,Married,Aurora,2018 Promotion,,,High
13745,968608,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,65546.0,Married,Star,Standard,,,Medium
15054,771932,Canada,Ontario,Toronto,P5S 6R4,Female,Master,101038.0,Married,Star,Standard,2018.0,,High
15325,534734,Canada,Ontario,Kingston,M9K 2P4,Female,Bachelor,59362.0,Married,Star,Standard,,,Medium
15528,995777,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,54174.0,Single,Star,Standard,,,Medium
15905,957764,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,85364.0,Married,Star,Standard,,10.0,High
16014,205671,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,75231.0,Single,Star,Standard,,,High
16053,955424,Canada,Newfoundland,St. John's,A1C 6H9,Male,Bachelor,50401.0,Single,Star,Standard,,,Medium
16231,576587,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,91646.0,Single,Star,Standard,,,High
16269,559127,Canada,Ontario,Kingston,M9K 2P4,Female,Bachelor,90467.0,Married,Star,Standard,2017.0,,High
904,521311,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,89320.0,Married,Aurora,Standard,,,High
1020,947641,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,63791.0,Married,Aurora,Standard,,,Medium
1349,197138,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,102956.0,Married,Aurora,Standard,,,High
1376,818484,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,82886.0,Married,Aurora,Standard,,,High
1384,849178,Canada,Ontario,Toronto,M8Y 4K8,Female,Bachelor,82157.0,Married,Aurora,Standard,,,High
1462,415292,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,54026.0,Married,Aurora,Standard,2016.0,,Medium
1639,151571,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,86016.0,Married,Aurora,Standard,,,High
1640,570784,Canada,Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,90521.0,Single,Aurora,Standard,,,High
1691,428130,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,52275.0,Divorced,Aurora,Standard,,,Medium
1915,894532,Canada,British Columbia,Kelowna,V09 2E9,Female,Bachelor,68416.0,Married,Aurora,2018 Promotion,,,Medium
2049,989262,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,53487.0,Married,Aurora,Standard,,,Medium
2336,878327,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,69317.0,Divorced,Aurora,Standard,2016.0,,Medium
2845,880580,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,59510.0,Single,Aurora,Standard,,,Medium
3019,223081,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,54301.0,Divorced,Aurora,Standard,2016.0,,Medium
3099,821712,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,70208.0,Married,Aurora,Standard,2016.0,,High
3287,933682,Canada,Alberta,Calgary,T3E 2V9,Female,Doctor,129866.0,Married,Aurora,Standard,,,High
3658,916880,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,65056.0,Divorced,Aurora,Standard,,,Medium
3871,414433,Canada,Manitoba,Winnipeg,R3R 3T4,Female,Bachelor,89230.0,Divorced,Aurora,Standard,,,High
4093,648455,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,98006.0,Single,Aurora,Standard,,,High
4158,240044,Canada,Ontario,Toronto,P5S 6R4,Male,Bachelor,101995.0,Married,Nova,Standard,,,High
4320,459163,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,51510.0,Married,Nova,Standard,,,Medium
4486,888506,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,59523.0,Single,Nova,Standard,,,Medium
4838,248950,Canada,Ontario,Kingston,M9K 2P4,Male,Bachelor,80013.0,Married,Nova,Standard,,,High
4879,331325,Canada,Ontario,Ottawa,K1F 2R2,Male,High School or Below,60091.0,Divorced,Nova,Standard,,,Medium
5292,568172,Canada,Ontario,Toronto,M2P 4F6,Female,Bachelor,77550.0,Married,Nova,Standard,,,High
5525,978130,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,99622.0,Single,Nova,Standard,,,High
5869,144593,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,62202.0,Divorced,Nova,Standard,,,Medium
5894,762272,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,57194.0,Married,Nova,Standard,,,Medium
6168,979010,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,54918.0,Married,Nova,Standard,,,Medium
6418,906848,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,74672.0,Married,Nova,Standard,,,High
6452,732009,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,102982.0,Married,Nova,Standard,,,High
6557,351029,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,86124.0,Married,Nova,Standard,,,High
6559,817135,Canada,Ontario,Toronto,M2M 6J7,Female,Bachelor,50298.0,Married,Nova,Standard,,,Medium
6709,741842,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,66746.0,Married,Nova,Standard,,,Medium
7696,743734,Canada,British Columbia,Kelowna,V09 2E9,Male,Bachelor,92025.0,Single,Nova,Standard,,,High
7748,606344,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,71816.0,Married,Nova,Standard,2017.0,,High
8069,743481,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,90286.0,Married,Nova,Standard,2015.0,,High
8226,132884,Canada,Saskatchewan,Regina,S1J 3C5,Female,Bachelor,59537.0,Married,Nova,Standard,,,Medium
8805,553018,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,75668.0,Married,Nova,Standard,,,High
8896,286942,Canada,Alberta,Banff,T4V 1D4,Male,Bachelor,76899.0,Married,Nova,Standard,,,High
9116,718972,Canada,Ontario,Kingston,M9K 2P4,Female,Doctor,208684.0,Divorced,Nova,Standard,,,High
9118,278983,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,80978.0,Single,Nova,Standard,,,High
9196,281608,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,83568.0,Divorced,Nova,Standard,,,High
10316,765747,Canada,Ontario,Toronto,P2T 6G3,Female,Bachelor,60490.0,Divorced,Star,Standard,,,Medium
10362,661442,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,77632.0,Married,Star,Standard,,,High
11201,293137,Canada,Ontario,Kingston,M9K 2P4,Male,Bachelor,68256.0,Married,Star,Standard,,,Medium
11251,853957,Canada,Ontario,Kingston,M9K 2P4,Male,Bachelor,77689.0,Married,Star,Standard,,,High
11640,234895,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,61289.0,Married,Star,Standard,,,Medium
11684,628130,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,96700.0,Married,Star,Standard,,,High
